execution_id,best_fitness,total_time
4111,533.0,19.268
4112,517.0,18.451
4113,532.0,19.151
4114,517.0,18.486
4115,533.0,19.097
4116,528.0,19.096
4117,527.0,18.888
4118,525.0,19.036
4119,527.0,18.839
4120,524.0,18.999
4121,527.0,18.946
4122,517.0,18.795
4123,525.0,18.964
4124,533.0,19.255
4125,517.0,18.693
4126,533.0,19.411
4127,532.0,18.96
4128,527.0,18.928
4129,523.0,19.1
4130,532.0,18.81
4131,519.0,18.785
4132,527.0,18.932
4133,533.0,19.152
4134,528.0,19.253
4135,532.0,19.074
4136,517.0,18.575
4137,524.0,18.85
4138,519.0,18.783
4139,527.0,19.334
4140,530.0,19.037
4141,533.0,19.248
4142,532.0,19.176
4143,519.0,18.745
4144,532.0,19.297
4145,527.0,18.976
4146,518.0,18.678
4147,527.0,18.839
4148,533.0,19.245
4149,517.0,18.671
4150,527.0,19.078
4151,527.0,18.892
4152,533.0,19.387
4153,527.0,18.995
4154,519.0,18.564
4155,511.0,18.862
4156,519.0,18.6
4157,533.0,19.011
4158,514.0,18.647
4159,526.0,18.708
4160,521.0,18.706
