execution_id,best_fitness,total_time
4461,337.0,25.159
4462,345.0,24.919
4463,338.0,24.786
4464,336.0,24.579
4465,339.0,24.705
4466,339.0,24.814
4467,342.0,24.777
4468,334.0,24.835
4469,338.0,24.917
4470,334.0,25.014
4471,342.0,24.83
4472,340.0,24.65
4473,337.0,25.248
4474,342.0,25.157
4475,330.0,24.877
4476,344.0,24.946
4477,336.0,24.807
4478,336.0,24.902
4479,336.0,24.845
4480,338.0,24.917
4481,344.0,24.72
4482,336.0,24.962
4483,343.0,25.065
4484,335.0,24.735
4485,337.0,25.037
4486,342.0,25.055
4487,338.0,24.832
4488,341.0,25.0
4489,339.0,24.585
4490,344.0,25.106
4491,336.0,24.889
4492,335.0,24.751
4493,339.0,24.901
4494,343.0,24.877
4495,334.0,24.977
4496,334.0,24.697
4497,338.0,24.925
4498,341.0,25.076
4499,335.0,25.336
4500,332.0,24.874
4501,337.0,24.978
4502,343.0,24.769
4503,344.0,24.893
4504,337.0,24.857
4505,337.0,24.935
4506,339.0,24.663
4507,332.0,24.876
4508,341.0,25.05
4509,340.0,25.246
4510,336.0,24.854
19,348.0,0.139
