execution_id,best_fitness,total_time
1857,273.0,55.034
1858,270.0,54.708
1859,273.0,54.408
1860,275.0,54.009
1861,275.0,54.654
1862,277.0,54.799
1863,273.0,54.706
1864,271.0,54.493
1865,274.0,55.17
1866,275.0,54.611
1867,278.0,54.85
1868,276.0,54.842
1869,274.0,54.546
1870,274.0,54.461
1871,276.0,54.645
1872,273.0,55.008
1873,271.0,53.876
1874,274.0,54.686
1875,273.0,54.588
1876,274.0,54.786
1877,271.0,54.499
1878,275.0,54.617
1879,272.0,54.972
1880,274.0,55.091
1881,272.0,54.334
1882,275.0,54.588
1883,276.0,54.726
1884,274.0,54.633
1885,275.0,54.589
1886,272.0,54.346
1887,268.0,54.889
1888,271.0,54.578
1889,275.0,54.199
1890,275.0,55.006
1891,274.0,54.922
1892,271.0,54.105
1893,274.0,54.34
1894,272.0,54.696
1895,277.0,54.788
1896,275.0,54.997
1897,269.0,54.725
1898,274.0,55.453
1899,275.0,54.187
1900,273.0,55.056
1901,279.0,54.533
1902,274.0,54.33
1903,274.0,54.282
1904,276.0,54.638
1905,276.0,54.473
1906,275.0,54.819
33,284.0,0.351
