execution_id,best_fitness,total_time
2257,73.0,31.796
2258,74.0,33.1
2259,73.0,32.861
2260,74.0,33.09
2261,72.0,32.242
2262,73.0,31.068
2263,72.0,31.262
2264,74.0,32.396
2265,72.0,31.486
2266,73.0,31.515
2267,72.0,31.036
2268,72.0,31.328
2269,73.0,31.76
2270,73.0,31.061
2271,75.0,32.46
2272,73.0,31.432
2273,74.0,32.196
2274,72.0,31.627
2275,74.0,32.344
2276,73.0,31.83
2277,73.0,31.616
2278,73.0,31.261
2279,74.0,31.634
2280,73.0,31.603
2281,74.0,32.257
2282,72.0,31.242
2283,73.0,31.07
2284,73.0,31.116
2285,72.0,31.071
2286,74.0,32.306
2287,73.0,31.53
2288,72.0,31.443
2289,73.0,31.333
2290,72.0,31.298
2291,72.0,31.251
2292,74.0,32.535
2293,73.0,31.656
2294,73.0,31.369
2295,73.0,31.394
2296,72.0,31.361
2297,74.0,32.388
2298,73.0,30.94
2299,74.0,32.438
2300,73.0,31.53
2301,73.0,31.702
2302,74.0,32.512
2303,72.0,31.145
2304,74.0,32.654
2305,72.0,31.209
2306,73.0,31.415
37,77.0,0.182
