execution_id,best_fitness,total_time
3461,565.0,16.438
3462,563.0,16.362
3463,560.0,16.418
3464,567.0,16.426
3465,566.0,16.419
3466,551.0,16.604
3467,569.0,16.509
3468,572.0,16.46
3469,563.0,16.417
3470,565.0,16.338
3471,551.0,16.298
3472,561.0,16.475
3473,556.0,16.148
3474,563.0,16.607
3475,567.0,16.266
3476,554.0,16.364
3477,567.0,16.312
3478,569.0,16.668
3479,567.0,16.342
3480,561.0,16.29
3481,566.0,16.37
3482,560.0,16.523
3483,566.0,16.37
3484,565.0,16.246
3485,559.0,16.164
3486,562.0,16.275
3487,561.0,16.427
3488,558.0,16.576
3489,564.0,16.187
3490,564.0,16.562
3491,557.0,16.693
3492,559.0,16.386
3493,563.0,16.21
3494,563.0,16.314
3495,552.0,16.45
3496,564.0,16.495
3497,558.0,16.428
3498,563.0,16.444
3499,562.0,16.246
3500,561.0,16.546
3501,563.0,16.592
3502,553.0,16.39
3503,563.0,16.404
3504,562.0,16.042
3505,563.0,16.388
3506,566.0,16.491
3507,567.0,16.295
3508,567.0,16.507
3509,563.0,16.333
3510,556.0,16.137
9,582.0,0.078
