execution_id,best_fitness,total_time
5061,314.0,23.489
5062,317.0,23.305
5063,317.0,23.503
5064,317.0,23.388
5065,316.0,23.323
5066,316.0,23.418
5067,315.0,23.4
5068,317.0,23.172
5069,312.0,23.308
5070,318.0,23.441
5071,318.0,23.47
5072,317.0,23.456
5073,319.0,23.251
5074,316.0,23.433
5075,318.0,23.39
5076,318.0,23.395
5077,312.0,23.296
5078,318.0,23.416
5079,315.0,23.438
5080,317.0,23.19
5081,315.0,23.392
5082,318.0,23.444
5083,317.0,23.464
5084,318.0,23.561
5085,315.0,23.588
5086,316.0,23.44
5087,317.0,23.455
5088,316.0,23.484
5089,316.0,23.474
5090,315.0,23.361
5091,319.0,23.482
5092,318.0,23.486
5093,316.0,23.338
5094,319.0,23.362
5095,315.0,23.301
5096,318.0,23.429
5097,316.0,23.28
5098,317.0,23.5
5099,315.0,23.344
5100,316.0,23.348
5101,317.0,23.259
5102,316.0,23.244
5103,317.0,23.455
5104,317.0,23.226
5105,319.0,23.441
5106,316.0,23.411
5107,313.0,23.236
5108,318.0,23.262
5109,317.0,23.212
5110,316.0,23.336
25,323.0,0.147
