execution_id,best_fitness,total_time
1807,274.0,79.441
1808,278.0,77.559
1809,279.0,81.033
1810,276.0,77.107
1811,276.0,79.316
1812,279.0,80.175
1813,277.0,79.089
1814,277.0,80.535
1815,283.0,82.489
1816,280.0,79.959
1817,282.0,79.216
1818,281.0,80.247
1819,281.0,80.165
1820,274.0,80.173
1821,276.0,81.867
1822,278.0,81.905
1823,276.0,81.79
1824,276.0,79.64
1825,278.0,80.981
1826,277.0,79.971
1827,278.0,82.156
1828,278.0,79.909
1829,278.0,79.717
1830,278.0,80.907
1831,280.0,79.242
1832,280.0,81.232
1833,276.0,80.166
1834,280.0,81.757
1835,275.0,79.977
1836,278.0,79.745
1837,281.0,79.236
1838,275.0,81.648
1839,277.0,80.534
1840,277.0,81.382
1841,277.0,82.107
1842,278.0,80.195
1843,277.0,81.886
1844,281.0,81.892
1845,277.0,79.742
1846,276.0,81.144
1847,277.0,77.438
1848,280.0,77.828
1849,280.0,78.677
1850,284.0,78.846
1851,278.0,78.189
1852,277.0,80.163
1853,279.0,79.957
1854,277.0,78.393
1855,278.0,78.853
1856,277.0,79.501
