execution_id,best_fitness,total_time
4011,473.0,17.983
4012,470.0,18.05
4013,473.0,18.358
4014,473.0,18.548
4015,473.0,18.434
4016,473.0,18.197
4017,473.0,18.258
4018,466.0,18.16
4019,469.0,18.566
4020,472.0,19.726
4021,469.0,19.112
4022,464.0,18.95
4023,469.0,19.639
4024,473.0,19.217
4025,469.0,19.251
4026,471.0,20.196
4027,473.0,19.214
4028,473.0,21.151
4029,465.0,20.782
4030,473.0,20.907
4031,472.0,21.276
4032,473.0,20.885
4033,469.0,21.174
4034,473.0,21.268
4035,469.0,21.252
4036,473.0,21.261
4037,473.0,21.015
4038,473.0,20.575
4039,473.0,20.621
4040,469.0,20.644
4041,471.0,20.784
4042,472.0,20.649
4043,473.0,20.519
4044,471.0,20.603
4045,473.0,20.67
4046,473.0,20.68
4047,472.0,20.482
4048,472.0,20.259
4049,473.0,20.675
4050,473.0,20.709
4051,473.0,20.889
4052,473.0,20.42
4053,473.0,19.463
4054,469.0,18.672
4055,468.0,18.564
4056,465.0,18.814
4057,469.0,18.668
4058,469.0,18.572
4059,473.0,18.788
4060,473.0,18.783
