execution_id,best_fitness,total_time
4511,339.0,36.174
4512,334.0,35.572
4513,338.0,36.179
4514,342.0,35.914
4515,343.0,36.457
4516,339.0,36.685
4517,338.0,37.761
4518,342.0,37.246
4519,338.0,38.516
4520,340.0,37.928
4521,344.0,38.769
4522,343.0,38.994
4523,345.0,38.808
4524,341.0,38.907
4525,344.0,40.66
4526,340.0,36.762
4527,341.0,36.588
4528,340.0,36.12
4529,343.0,37.581
4530,341.0,37.596
4531,341.0,38.148
4532,340.0,38.908
4533,335.0,38.606
4534,339.0,38.178
4535,345.0,38.873
4536,343.0,37.824
4537,344.0,40.121
4538,341.0,40.715
4539,343.0,41.948
4540,345.0,40.87
4541,337.0,41.61
4542,340.0,39.972
4543,342.0,37.1
4544,336.0,38.859
4545,342.0,35.948
4546,340.0,38.241
4547,339.0,39.901
4548,344.0,40.121
4549,345.0,38.494
4550,339.0,39.306
4551,338.0,39.541
4552,343.0,40.28
4553,343.0,40.077
4554,342.0,37.392
4555,338.0,37.645
4556,341.0,40.388
4557,340.0,37.517
4558,341.0,37.215
4559,341.0,41.044
4560,341.0,40.644
