execution_id,best_fitness,total_time
4307,14.0,37.082
4308,14.0,37.22
4309,14.0,37.624
4310,14.0,37.856
4311,14.0,37.2
4312,14.0,36.974
4313,14.0,36.372
4314,14.0,36.486
4315,14.0,38.669
4316,14.0,36.641
4317,15.0,37.409
4318,14.0,36.117
4319,14.0,37.587
4320,14.0,37.951
4321,15.0,37.668
4322,14.0,39.129
4323,14.0,38.019
4324,14.0,37.976
4325,14.0,36.881
4326,15.0,36.98
4327,14.0,38.077
4328,14.0,37.741
4329,14.0,37.823
4330,15.0,38.031
4331,14.0,37.192
4332,14.0,38.443
4333,14.0,37.883
4334,14.0,38.678
4335,15.0,35.822
4336,14.0,38.852
4337,15.0,37.138
4338,15.0,38.768
4339,14.0,38.521
4340,15.0,38.744
4341,14.0,36.721
4342,14.0,38.554
4343,14.0,38.017
4344,14.0,36.986
4345,14.0,37.27
4346,14.0,37.37
4347,15.0,37.995
4348,14.0,38.186
4349,15.0,38.004
4350,14.0,38.158
4351,14.0,37.216
4352,15.0,37.316
4353,15.0,37.092
4354,14.0,38.784
4355,14.0,37.687
4356,14.0,37.709
