execution_id,best_fitness,total_time
4661,260.0,28.581
4662,258.0,27.542
4663,260.0,27.099
4664,254.0,27.638
4665,260.0,27.686
4666,260.0,26.966
4667,257.0,27.151
4668,255.0,27.551
4669,262.0,27.229
4670,256.0,26.818
4671,259.0,28.546
4672,259.0,31.66
4673,254.0,30.493
4674,257.0,29.594
4675,258.0,31.602
4676,257.0,31.544
4677,257.0,26.735
4678,257.0,28.261
4679,260.0,31.013
4680,257.0,30.077
4681,259.0,28.354
4682,261.0,29.935
4683,260.0,27.915
4684,257.0,28.44
4685,261.0,30.867
4686,254.0,28.774
4687,254.0,29.828
4688,261.0,29.573
4689,255.0,28.502
4690,259.0,27.611
4691,261.0,28.252
4692,259.0,28.505
4693,259.0,28.349
4694,257.0,27.765
4695,260.0,28.16
4696,258.0,27.866
4697,257.0,28.414
4698,259.0,29.509
4699,258.0,29.163
4700,257.0,28.301
4701,260.0,28.713
4702,256.0,29.776
4703,260.0,28.172
4704,258.0,28.305
4705,263.0,29.243
4706,259.0,29.477
4707,258.0,30.795
4708,257.0,30.073
4709,261.0,29.048
4710,256.0,27.481
21,265.0,0.139
