execution_id,best_fitness,total_time
3807,30.0,77.05
3808,29.0,78.425
3809,30.0,76.771
3810,29.0,77.49
3811,29.0,78.566
3812,30.0,76.522
3813,29.0,81.663
3814,29.0,81.751
3815,29.0,81.553
3816,29.0,75.242
3817,30.0,76.738
3818,29.0,80.476
3819,29.0,80.885
3820,30.0,79.92
3821,29.0,78.421
3822,29.0,82.498
3823,29.0,81.238
3824,29.0,83.483
3825,29.0,75.594
3826,29.0,81.176
3827,29.0,76.263
3828,30.0,75.109
3829,30.0,78.015
3830,29.0,77.949
3831,29.0,77.111
3832,30.0,77.348
3833,29.0,80.884
3834,30.0,75.851
3835,30.0,76.393
3836,29.0,77.736
3837,30.0,82.623
3838,30.0,79.723
3839,30.0,80.336
3840,29.0,78.57
3841,29.0,79.303
3842,29.0,82.449
3843,29.0,81.478
3844,29.0,80.233
3845,29.0,81.439
3846,30.0,79.492
3847,30.0,81.938
3848,29.0,82.114
3849,30.0,80.902
3850,30.0,82.853
3851,29.0,85.71
3852,29.0,78.214
3853,30.0,77.799
3854,29.0,81.09
3855,30.0,78.395
3856,29.0,77.349
