execution_id,best_fitness,total_time
4707,14.0,33.114
4708,14.0,32.854
4709,14.0,34.464
4710,14.0,34.459
4711,14.0,33.885
4712,14.0,34.507
4713,14.0,34.475
4714,14.0,33.749
4715,14.0,33.47
4716,14.0,34.002
4717,14.0,34.889
4718,14.0,33.853
4719,14.0,34.098
4720,14.0,34.391
4721,14.0,34.066
4722,14.0,33.99
4723,14.0,34.26
4724,14.0,33.028
4725,14.0,35.457
4726,14.0,33.757
4727,14.0,33.584
4728,14.0,33.251
4729,14.0,33.467
4730,14.0,34.519
4731,14.0,32.748
4732,14.0,33.867
4733,14.0,34.039
4734,14.0,34.519
4735,14.0,34.079
4736,14.0,33.524
4737,14.0,34.15
4738,14.0,35.481
4739,14.0,33.574
4740,14.0,35.387
4741,14.0,33.872
4742,14.0,33.26
4743,14.0,34.281
4744,14.0,34.453
4745,14.0,33.182
4746,14.0,35.026
4747,14.0,37.367
4748,14.0,34.405
4749,14.0,34.383
4750,14.0,32.849
4751,14.0,35.79
4752,14.0,34.088
4753,14.0,34.702
4754,14.0,34.8
4755,14.0,35.945
4756,14.0,32.707
