execution_id,best_fitness,total_time
5157,187.0,1154.311
5158,185.0,1080.218
5159,186.0,1061.447
5160,187.0,1078.133
5161,185.0,1064.645
5162,185.0,1051.376
5163,186.0,1061.735
5164,185.0,1110.422
5165,184.0,1121.883
5166,186.0,1125.731
5167,183.0,1094.669
5168,187.0,1078.898
5169,187.0,1074.214
5170,185.0,1050.661
5171,184.0,1046.034
5172,185.0,1061.829
5173,187.0,1009.558
5174,187.0,964.936
5175,184.0,953.721
5176,187.0,958.62
5177,187.0,957.759
5178,184.0,956.482
5179,186.0,960.913
5180,185.0,958.941
5181,184.0,962.839
5182,185.0,953.671
5183,184.0,952.467
5184,186.0,966.419
5185,185.0,961.113
5186,186.0,959.046
5187,186.0,963.549
5188,186.0,980.74
5189,185.0,976.465
5190,187.0,978.48
5191,187.0,966.521
5192,186.0,957.769
5193,185.0,958.33
5194,186.0,956.536
5195,187.0,963.711
5196,185.0,956.78
5197,186.0,1014.387
5198,186.0,1004.124
5199,185.0,990.791
5200,186.0,1063.486
5201,185.0,1051.395
5202,183.0,989.452
5203,187.0,984.688
5204,186.0,994.993
5205,184.0,997.219
5206,186.0,1010.33
66,194.0,5.639
