execution_id,best_fitness,total_time
3057,245.0,124.368
3058,244.0,120.451
3059,239.0,134.131
3060,249.0,124.878
3061,242.0,119.491
3062,241.0,120.051
3063,247.0,116.426
3064,245.0,115.889
3065,244.0,113.922
3066,245.0,117.007
3067,247.0,115.852
3068,244.0,113.973
3069,251.0,116.598
3070,247.0,114.931
3071,245.0,115.322
3072,245.0,116.34
3073,243.0,116.593
3074,245.0,116.976
3075,245.0,116.766
3076,246.0,116.582
3077,244.0,116.066
3078,245.0,115.377
3079,244.0,116.467
3080,242.0,116.077
3081,246.0,116.473
3082,247.0,123.757
3083,248.0,131.084
3084,241.0,142.586
3085,247.0,159.342
3086,245.0,151.477
3087,247.0,155.228
3088,247.0,143.187
3089,245.0,150.724
3090,243.0,152.059
3091,247.0,157.1
3092,248.0,157.567
3093,242.0,155.053
3094,246.0,153.212
3095,249.0,154.007
3096,244.0,147.039
3097,244.0,150.224
3098,245.0,145.292
3099,248.0,153.821
3100,246.0,151.115
3101,248.0,149.033
3102,249.0,147.96
3103,249.0,140.276
3104,248.0,143.003
3105,241.0,143.41
3106,248.0,149.377
45,257.0,0.742
