execution_id,best_fitness,total_time
3911,585.0,23.445
3912,610.0,24.002
3913,585.0,19.85
3914,600.0,19.868
3915,610.0,20.197
3916,604.0,19.51
3917,595.0,20.007
3918,590.0,20.148
3919,591.0,20.516
3920,576.0,20.558
3921,587.0,20.46
3922,584.0,20.604
3923,585.0,20.121
3924,602.0,19.947
3925,595.0,19.033
3926,609.0,18.974
3927,602.0,19.408
3928,585.0,18.924
3929,609.0,19.434
3930,609.0,19.143
3931,595.0,19.314
3932,606.0,18.772
3933,599.0,19.094
3934,605.0,19.422
3935,609.0,19.856
3936,593.0,19.0
3937,592.0,20.236
3938,585.0,19.865
3939,600.0,20.003
3940,602.0,20.67
3941,585.0,19.812
3942,605.0,21.746
3943,592.0,21.342
3944,585.0,20.829
3945,596.0,21.414
3946,609.0,22.046
3947,604.0,21.36
3948,585.0,21.034
3949,604.0,21.304
3950,596.0,21.34
3951,604.0,21.301
3952,589.0,21.301
3953,585.0,20.802
3954,605.0,21.144
3955,593.0,21.171
3956,582.0,21.061
3957,589.0,21.244
3958,600.0,21.394
3959,602.0,21.426
3960,609.0,21.188
