execution_id,best_fitness,total_time
5211,301.0,32.561
5212,300.0,31.888
5213,298.0,31.908
5214,299.0,32.568
5215,298.0,32.527
5216,299.0,31.75
5217,302.0,31.957
5218,303.0,32.597
5219,304.0,32.281
5220,304.0,32.222
5221,301.0,32.388
5222,296.0,32.416
5223,305.0,32.938
5224,299.0,32.172
5225,301.0,32.106
5226,304.0,32.474
5227,307.0,32.908
5228,299.0,32.229
5229,303.0,32.503
5230,304.0,32.451
5231,302.0,32.045
5232,303.0,32.093
5233,304.0,32.096
5234,300.0,32.164
5235,296.0,32.235
5236,295.0,31.747
5237,295.0,32.314
5238,303.0,32.177
5239,301.0,32.362
5240,296.0,32.119
5241,296.0,32.125
5242,304.0,32.136
5243,304.0,32.664
5244,304.0,31.995
5245,306.0,32.327
5246,298.0,31.805
5247,303.0,31.794
5248,300.0,32.264
5249,305.0,32.2
5250,295.0,32.023
5251,303.0,32.467
5252,307.0,33.262
5253,299.0,32.366
5254,298.0,32.05
5255,306.0,32.484
5256,298.0,31.879
5257,306.0,32.865
5258,300.0,32.096
5259,302.0,31.155
5260,303.0,32.382
