execution_id,best_fitness,total_time
4211,718.0,22.022
4212,715.0,22.279
4213,717.0,20.569
4214,716.0,20.0
4215,715.0,20.736
4216,717.0,19.972
4217,711.0,20.048
4218,712.0,19.667
4219,718.0,19.722
4220,712.0,20.346
4221,716.0,20.511
4222,715.0,20.653
4223,716.0,20.487
4224,708.0,20.501
4225,716.0,20.618
4226,715.0,20.458
4227,715.0,20.434
4228,712.0,20.411
4229,718.0,20.183
4230,710.0,20.09
4231,712.0,20.433
4232,717.0,20.88
4233,712.0,20.48
4234,714.0,20.556
4235,713.0,20.312
4236,705.0,20.508
4237,716.0,20.638
4238,716.0,20.328
4239,718.0,20.374
4240,712.0,20.511
4241,715.0,20.516
4242,718.0,20.537
4243,717.0,20.59
4244,715.0,20.132
4245,718.0,20.318
4246,709.0,20.714
4247,715.0,20.417
4248,722.0,20.701
4249,713.0,20.055
4250,718.0,21.106
4251,711.0,20.05
4252,717.0,20.263
4253,716.0,20.465
4254,718.0,20.578
4255,719.0,20.821
4256,716.0,20.602
4257,720.0,21.024
4258,711.0,20.558
4259,715.0,20.535
4260,716.0,20.824
