execution_id,best_fitness,total_time
5407,71.0,592.108
5408,71.0,587.724
5409,69.0,583.668
5410,69.0,589.736
5411,70.0,581.013
5412,71.0,584.713
5413,70.0,590.306
5414,71.0,562.73
5415,71.0,531.451
5416,71.0,566.754
5417,70.0,524.684
5418,68.0,517.202
5419,71.0,510.043
5420,71.0,499.701
5421,72.0,512.837
5422,71.0,531.087
5423,70.0,514.075
5424,71.0,520.285
5425,71.0,520.564
5426,71.0,534.707
5427,71.0,545.959
5428,70.0,525.414
5429,69.0,531.707
5430,70.0,531.476
5431,70.0,517.267
5432,70.0,530.349
5433,70.0,534.26
5434,71.0,531.727
5435,71.0,510.307
5436,70.0,530.217
5437,70.0,542.527
5438,71.0,520.417
5439,70.0,524.126
5440,70.0,539.523
5441,71.0,514.093
5442,70.0,533.843
5443,70.0,528.542
5444,71.0,533.728
5445,69.0,513.993
5446,71.0,516.096
5447,70.0,527.437
5448,69.0,505.743
5449,72.0,538.61
5450,70.0,521.421
5451,70.0,528.545
5452,70.0,550.798
5453,71.0,577.499
5454,71.0,696.992
5455,69.0,703.905
5456,69.0,725.643
