execution_id,best_fitness,total_time
4557,15.0,35.134
4558,14.0,36.035
4559,14.0,35.431
4560,15.0,37.442
4561,15.0,35.978
4562,14.0,36.785
4563,14.0,35.832
4564,14.0,34.855
4565,15.0,37.587
4566,14.0,36.123
4567,14.0,36.548
4568,15.0,37.422
4569,14.0,37.032
4570,15.0,37.04
4571,15.0,35.986
4572,15.0,35.957
4573,14.0,36.005
4574,15.0,36.188
4575,14.0,36.059
4576,15.0,35.426
4577,14.0,35.313
4578,15.0,35.674
4579,14.0,36.511
4580,15.0,35.452
4581,14.0,35.906
4582,14.0,36.48
4583,14.0,36.124
4584,14.0,37.148
4585,15.0,36.982
4586,14.0,35.469
4587,14.0,37.152
4588,14.0,36.272
4589,14.0,36.758
4590,15.0,36.651
4591,15.0,36.493
4592,14.0,36.697
4593,15.0,35.216
4594,14.0,35.967
4595,14.0,35.312
4596,14.0,36.308
4597,14.0,35.75
4598,14.0,35.853
4599,14.0,35.375
4600,14.0,35.024
4601,14.0,36.435
4602,15.0,36.618
4603,14.0,36.377
4604,14.0,36.7
4605,14.0,36.595
4606,14.0,35.684
60,17.0,0.232
