execution_id,best_fitness,total_time
5057,186.0,1019.041
5058,187.0,1007.336
5059,186.0,1041.14
5060,187.0,1044.848
5061,186.0,1043.477
5062,184.0,1050.575
5063,185.0,1049.369
5064,187.0,1058.243
5065,185.0,1055.612
5066,186.0,1045.635
5067,187.0,1044.654
5068,186.0,1038.487
5069,185.0,1049.127
5070,187.0,1047.183
5071,185.0,1052.999
5072,186.0,1049.33
5073,185.0,1045.899
5074,186.0,1039.754
5075,186.0,1057.577
5076,185.0,1051.696
5077,185.0,1039.262
5078,185.0,1062.303
5079,186.0,1054.97
5080,186.0,1069.005
5081,187.0,1087.787
5082,187.0,1094.635
5083,185.0,1018.393
5084,186.0,1038.205
5085,187.0,1040.514
5086,186.0,1047.792
5087,186.0,1082.566
5088,185.0,1094.475
5089,186.0,1021.008
5090,185.0,1042.045
5091,186.0,1046.39
5092,186.0,1031.317
5093,187.0,1065.378
5094,187.0,1051.215
5095,187.0,1048.507
5096,186.0,1077.878
5097,186.0,1103.01
5098,185.0,1022.936
5099,187.0,993.123
5100,186.0,1002.284
5101,186.0,998.908
5102,183.0,993.988
5103,185.0,1002.489
5104,185.0,1005.902
5105,186.0,996.138
5106,184.0,1006.603
65,191.0,5.559
