execution_id,best_fitness,total_time
3761,566.0,13.742
3762,558.0,14.057
3763,559.0,14.045
3764,562.0,13.852
3765,564.0,14.113
3766,558.0,14.093
3767,558.0,13.819
3768,551.0,14.01
3769,563.0,13.899
3770,551.0,14.021
3771,552.0,13.85
3772,557.0,13.86
3773,554.0,13.959
3774,562.0,13.902
3775,557.0,13.922
3776,558.0,13.91
3777,542.0,13.916
3778,556.0,13.895
3779,556.0,13.89
3780,566.0,13.906
3781,559.0,13.865
3782,548.0,14.007
3783,554.0,13.925
3784,556.0,14.002
3785,562.0,14.054
3786,558.0,14.088
3787,560.0,13.814
3788,552.0,13.821
3789,550.0,13.899
3790,562.0,13.869
3791,561.0,13.934
3792,565.0,13.776
3793,555.0,13.877
3794,558.0,13.862
3795,555.0,13.927
3796,557.0,13.941
3797,559.0,13.942
3798,551.0,13.956
3799,559.0,13.859
3800,562.0,13.856
3801,565.0,13.83
3802,556.0,13.922
3803,554.0,13.88
3804,555.0,13.886
3805,556.0,13.872
3806,553.0,13.947
3807,544.0,13.977
3808,561.0,13.95
3809,541.0,14.012
3810,559.0,13.977
12,577.0,0.077
