metaheuristic,instance,num_executions,mean_fitness,median_fitness,min_fitness,max_fitness,range_fitness,std_fitness,mean_time,std_time
GWO,scp47,50,471.18,473.0,464.0,473.0,9.0,2.488,19.807,1.102
GWO,scp48,50,525.6,527.0,511.0,533.0,22.0,6.214,18.945,0.242
GWO,scp49,50,714.92,715.5,705.0,722.0,17.0,3.231,20.511,0.446
GWO,scp510,50,290.7,290.0,287.0,293.0,6.0,1.474,37.5,0.413
GWO,scp51,50,280.92,281.0,278.0,287.0,9.0,2.137,36.807,0.427
GWO,scp52,50,340.86,341.0,334.0,345.0,11.0,2.595,38.494,1.647
GWO,scp53,50,243.18,243.0,239.0,246.0,7.0,1.837,38.444,2.243
GWO,scp54,50,263.14,264.0,260.0,265.0,5.0,1.525,40.526,2.026
GWO,scp55,50,231.36,232.0,227.0,232.0,5.0,1.208,40.183,2.612
GWO,scp56,50,241.24,241.0,236.0,246.0,10.0,2.264,36.52,3.839
GWO,scp57,50,314.28,315.0,303.0,320.0,17.0,3.338,32.616,0.549
GWO,scp58,50,309.18,307.0,301.0,322.0,21.0,6.07,32.328,0.903
GWO,scp59,50,301.18,301.5,295.0,307.0,12.0,3.373,32.251,0.355
GWO,scp61,50,150.2,150.5,143.0,154.0,11.0,2.68,11.033,0.197
GWO,scp62,50,158.12,157.5,157.0,163.0,6.0,1.52,10.39,0.142
GWO,scp63,50,152.26,150.0,149.0,159.0,10.0,3.516,10.119,0.159
GWO,scp64,50,144.6,144.0,142.0,149.0,7.0,2.222,11.533,0.14
GWO,scp65,50,183.68,184.0,180.0,186.0,6.0,1.203,10.63,0.135
GWO,scpa1,50,278.04,278.0,274.0,284.0,10.0,2.166,80.102,1.327
GWO,scpa2,50,274.18,274.5,270.0,277.0,7.0,2.027,75.944,1.253
GWO,scpa3,50,255.16,255.0,250.0,261.0,11.0,2.402,77.664,1.372
GWO,scpa4,50,265.98,265.5,257.0,276.0,19.0,3.554,94.447,11.843
GWO,scpa5,50,262.88,262.0,257.0,271.0,14.0,3.685,88.83,1.171
GWO,scpb1,50,72.28,72.0,71.0,74.0,3.0,0.858,42.052,0.693
GWO,scpb2,50,81.3,81.0,79.0,83.0,4.0,1.182,42.694,1.49
GWO,scpb3,50,82.96,83.0,82.0,84.0,2.0,0.638,40.507,0.605
GWO,scpb4,50,84.42,84.5,82.0,88.0,6.0,1.214,42.521,0.645
GWO,scpb5,50,75.4,76.0,73.0,77.0,4.0,0.948,39.512,0.806
GWO,scpc1,50,251.88,252.0,245.0,255.0,10.0,1.976,166.508,2.178
GWO,scpc2,50,244.66,245.0,238.0,250.0,12.0,2.228,163.488,2.085
GWO,scpc3,50,260.66,261.0,257.0,265.0,8.0,2.172,148.39,2.999
GWO,scpc4,50,248.56,249.0,242.0,253.0,11.0,2.844,188.202,29.825
GWO,scpc5,50,229.92,230.0,227.0,232.0,5.0,1.085,157.345,1.933
GWO,scpd1,50,65.58,66.0,63.0,67.0,4.0,1.032,74.616,1.207
GWO,scpd2,50,69.06,69.0,68.0,70.0,2.0,0.682,76.745,1.144
GWO,scpd3,50,78.32,78.0,76.0,80.0,4.0,1.133,77.57,0.941
GWO,scpd4,50,65.62,65.0,63.0,70.0,7.0,1.413,84.619,1.621
GWO,scpd5,50,67.48,67.0,64.0,69.0,5.0,1.199,83.279,1.339
GWO,scpnre1,50,29.38,29.0,29.0,30.0,1.0,0.49,79.403,2.459
GWO,scpnre2,50,32.38,32.5,31.0,33.0,2.0,0.697,76.058,1.396
GWO,scpnre3,50,28.02,28.0,27.0,29.0,2.0,0.247,71.431,5.811
GWO,scpnre4,50,29.62,30.0,29.0,31.0,2.0,0.567,75.836,1.534
GWO,scpnre5,50,28.4,28.0,28.0,29.0,1.0,0.495,92.591,3.953
GWO,scpnrf1,50,14.24,14.0,14.0,15.0,1.0,0.431,37.652,0.755
GWO,scpnrf2,50,15.18,15.0,15.0,16.0,1.0,0.388,41.265,1.006
GWO,scpnrf3,50,14.92,15.0,14.0,15.0,1.0,0.274,39.774,1.04
GWO,scpnrf4,50,14.58,15.0,14.0,15.0,1.0,0.499,36.518,0.654
GWO,scpnrf5,50,14.0,14.0,14.0,14.0,0.0,0.0,34.161,0.895
GWO,scpnrg1,50,195.42,196.0,189.0,199.0,10.0,2.129,1427.017,165.549
GWO,scpnrg2,50,170.86,171.0,167.0,173.0,6.0,1.37,1357.559,114.146
GWO,scpnrg3,49,184.592,185.0,183.0,187.0,4.0,1.079,1397.609,29.097
GWO,scpnrg4,50,187.42,187.0,185.0,191.0,6.0,1.401,1348.588,48.139
GWO,scpnrg5,50,186.7,187.0,183.0,189.0,6.0,1.474,1345.888,84.808
GWO,scpnrh1,50,69.6,70.0,67.0,71.0,4.0,0.857,579.731,23.518
GWO,scpnrh2,50,70.32,70.0,68.0,72.0,4.0,0.844,547.751,48.15
GWO,scpnrh3,50,65.24,65.0,63.0,67.0,4.0,0.96,563.864,20.813
GWO,scpnrh4,50,63.96,64.0,62.0,66.0,4.0,0.856,546.703,16.255
GWO,scpnrh5,50,60.02,60.0,58.0,61.0,3.0,0.915,555.986,13.448
