metaheuristic,instance,mean_total_time,median_total_time,min_total_time,max_total_time,std_total_time,num_executions,best_final_fitness,mean_final_fitness,std_final_fitness,avg_population,avg_max_iterations
AOA,scpnrh1,508.422,508.093,475.176,561.591,12.688,50,66.0,68.94,0.978,10.0,20.0
AOA,scpnrh2,512.832,524.76,429.643,646.85,52.323,50,68.0,69.58,0.673,10.0,20.0
AOA,scpnrh3,486.975,478.547,473.089,583.821,19.99,50,62.0,63.6,0.728,10.0,20.0
AOA,scpnrh4,466.777,466.866,458.058,474.329,3.422,50,61.0,63.08,0.853,10.0,20.0
AOA,scpnrh5,505.041,486.96,473.166,639.658,44.275,50,57.0,59.02,0.769,10.0,20.0
GWO,scp41,24.087,24.106,23.657,24.474,0.205,50,446.0,457.6,2.792,10.0,20.0
GWO,scp410,22.867,22.927,20.773,23.774,0.466,50,540.0,548.0,4.426,10.0,20.0
GWO,scp42,23.617,23.632,22.928,24.144,0.272,50,557.0,572.54,5.238,10.0,20.0
GWO,scp43,22.65,22.652,22.111,23.212,0.299,50,560.0,574.16,3.771,10.0,20.0
GWO,scp44,21.442,20.97,19.943,23.451,1.182,50,528.0,537.4,3.614,10.0,20.0
GWO,scp45,20.53,20.532,20.132,20.904,0.186,50,558.0,568.22,3.266,10.0,20.0
GWO,scp46,20.493,20.488,18.772,24.002,1.101,50,576.0,596.36,9.391,10.0,20.0
GWO,scp47,19.807,20.228,17.983,21.276,1.102,50,464.0,471.18,2.488,10.0,20.0
GWO,scp48,18.945,18.953,18.451,19.411,0.242,50,511.0,525.6,6.214,10.0,20.0
GWO,scp49,20.511,20.504,19.667,22.279,0.446,50,705.0,714.92,3.231,10.0,20.0
GWO,scp51,36.807,36.818,35.909,37.751,0.427,50,278.0,280.92,2.137,10.0,20.0
GWO,scp510,37.5,37.534,36.622,38.346,0.413,50,287.0,290.7,1.474,10.0,20.0
GWO,scp52,38.494,38.505,35.572,41.948,1.647,50,334.0,340.86,2.595,10.0,20.0
GWO,scp53,38.444,37.703,34.559,43.979,2.243,50,239.0,243.18,1.837,10.0,20.0
GWO,scp54,40.526,40.242,37.072,44.917,2.026,50,260.0,263.14,1.525,10.0,20.0
GWO,scp55,40.183,40.368,35.698,45.887,2.612,50,227.0,231.36,1.208,10.0,20.0
GWO,scp56,36.52,36.306,31.962,44.78,3.839,50,236.0,241.24,2.264,10.0,20.0
GWO,scp57,32.616,32.472,31.158,33.735,0.549,50,303.0,314.28,3.338,10.0,20.0
GWO,scp58,32.328,32.336,30.96,34.175,0.903,50,301.0,309.18,6.07,10.0,20.0
GWO,scp59,32.251,32.225,31.155,33.262,0.355,50,295.0,301.18,3.373,10.0,20.0
GWO,scp61,11.033,11.03,10.475,11.469,0.197,50,143.0,150.2,2.68,10.0,20.0
GWO,scp62,10.39,10.386,10.055,10.682,0.142,50,157.0,158.12,1.52,10.0,20.0
GWO,scp63,10.119,10.14,9.806,10.456,0.159,50,149.0,152.26,3.516,10.0,20.0
GWO,scp64,11.533,11.53,11.289,11.815,0.14,50,142.0,144.6,2.222,10.0,20.0
