metaheuristic,instance,mean_iter_time,median_iter_time,min_iter_time,max_iter_time,std_iter_time,total_iterations,best_fitness,mean_fitness,std_fitness
AOA,scpnrh2,25.587,26.766,3.089,50.923,6.115,1000,68.0,70.368,1.246
AOA,scpnrh3,24.344,25.362,3.162,33.431,5.154,1000,62.0,63.959,0.775
AOA,scpnrh4,23.334,24.625,3.245,26.019,4.795,1000,61.0,63.959,1.575
AOA,scpnrh5,25.246,25.748,3.221,43.417,5.898,1000,57.0,59.687,1.243
GWO,scp41,1.203,1.342,0.142,1.519,0.355,1000,446.0,986.994,1352.663
GWO,scp410,1.142,1.26,0.148,1.465,0.321,1000,540.0,1072.842,1345.211
GWO,scp42,1.18,1.321,0.119,1.516,0.349,1000,557.0,1098.153,1357.314
GWO,scp43,1.131,1.255,0.142,1.459,0.328,1000,560.0,1100.979,1352.302
GWO,scp44,1.071,1.173,0.131,1.603,0.307,1000,528.0,1068.874,1354.424
GWO,scp45,1.025,1.163,0.136,1.264,0.293,1000,558.0,1091.93,1343.765
GWO,scp46,1.024,1.123,0.13,1.514,0.301,1000,576.0,1134.992,1395.613
GWO,scp47,0.989,1.073,0.133,1.367,0.275,1000,464.0,984.077,1321.164
GWO,scp48,0.946,1.062,0.128,1.176,0.263,1000,511.0,1083.936,1416.546
GWO,scp49,1.024,1.142,0.13,1.334,0.289,1000,705.0,1244.781,1363.569
GWO,scp51,1.839,2.176,0.127,2.407,0.671,1000,278.0,1439.332,2881.633
GWO,scp510,1.874,2.236,0.126,2.423,0.689,1000,287.0,1485.36,2978.714
GWO,scp52,1.923,2.208,0.124,3.039,0.703,1000,334.0,1531.24,2959.679
GWO,scp53,1.921,2.211,0.139,3.075,0.71,1000,239.0,1393.432,2848.268
GWO,scp54,2.025,2.346,0.129,3.004,0.75,1000,260.0,1401.002,2848.839
GWO,scp55,2.008,2.276,0.134,3.144,0.747,1000,227.0,1412.481,2918.195
GWO,scp56,1.825,2.019,0.124,3.158,0.701,1000,236.0,1444.424,2980.764
GWO,scp57,1.63,1.914,0.122,2.084,0.589,1000,303.0,1461.311,2853.806
GWO,scp58,1.615,1.879,0.125,2.093,0.58,1000,301.0,1465.797,2873.069
GWO,scp59,1.611,1.932,0.122,2.051,0.578,1000,295.0,1478.486,2921.402
GWO,scp61,0.551,0.647,0.061,0.717,0.194,1000,143.0,691.109,1395.849
GWO,scp62,0.519,0.607,0.061,0.668,0.178,1000,157.0,697.979,1388.286
GWO,scp63,0.505,0.589,0.061,0.778,0.172,1000,149.0,716.074,1421.542
GWO,scp64,0.576,0.686,0.06,0.799,0.206,1000,142.0,706.742,1433.121
GWO,scp65,0.531,0.621,0.061,0.768,0.183,1000,180.0,733.674,1419.608
GWO,scpa1,4.003,4.869,0.19,5.455,1.638,1000,274.0,2070.252,4412.626
GWO,scpa2,3.796,4.598,0.19,5.016,1.53,1000,270.0,2077.879,4429.724
GWO,scpa3,3.882,4.7,0.191,5.266,1.575,1000,250.0,2003.929,4321.225
GWO,scpa4,4.721,5.152,0.191,7.51,2.06,1000,257.0,2054.347,4399.531
GWO,scpa5,4.44,5.433,0.191,5.856,1.814,1000,257.0,2039.133,4361.84
GWO,scpb1,2.101,2.617,0.188,3.113,0.943,1000,71.0,1878.772,4424.268
GWO,scpb2,2.133,2.654,0.187,3.154,0.973,1000,79.0,1899.751,4485.207
GWO,scpb3,2.024,2.545,0.187,2.909,0.915,1000,82.0,1910.816,4491.572
GWO,scpb4,2.124,2.659,0.187,3.086,0.974,1000,82.0,1862.735,4348.69
GWO,scpb5,1.974,2.469,0.187,2.95,0.896,1000,73.0,1903.365,4467.153
GWO,scpc1,8.323,10.426,0.269,11.414,3.681,1000,245.0,2665.855,5888.685
GWO,scpc2,8.172,10.196,0.27,11.223,3.583,1000,238.0,2636.346,5828.999
GWO,scpc3,7.417,9.07,0.27,11.215,3.176,1000,257.0,2706.094,5945.892
GWO,scpc4,9.408,10.036,0.27,15.418,4.413,1000,242.0,2660.232,5854.155
GWO,scpc5,7.865,9.724,0.27,10.479,3.414,1000,227.0,2641.663,5872.605
GWO,scpd1,3.729,4.783,0.266,5.402,1.808,1000,63.0,2507.506,5935.461
GWO,scpd2,3.835,4.922,0.268,5.899,1.877,1000,68.0,2501.106,5907.636
GWO,scpd3,3.877,4.992,0.266,5.615,1.886,1000,76.0,2542.139,5981.853
GWO,scpd4,4.229,5.492,0.265,6.116,2.116,1000,63.0,2483.078,5909.313
GWO,scpd5,4.162,5.381,0.267,5.908,2.057,1000,64.0,2472.174,5878.628
GWO,scpnre1,3.968,5.246,0.354,6.376,2.204,1000,29.0,3159.212,7560.965
GWO,scpnre2,3.801,5.005,0.356,5.999,2.033,1000,31.0,3114.263,7475.688
